team_name,season,wins,losses,sos,points_for,points_against,AP_preseason,fg_pct,3pt_pct,ft_pct,opp_fg_pct,opp_3pt_pct,opp_ft_pct,O_reb,D_reb,opp_O_reb,opp_D_reb,turnover,opp_turnover,ppg,opp_ppg,OUTCOME
Wisconsin,2010-11,25,9,9.42,67.9,58.6,None,123,101,37,136,185,180,267,196,6,148,1,269,215,4,Lost Regional Semifinal
Wofford,2014-15,28,7,-2.98,66.6,59.7,None,142,100,285,206,58,71,180,229,18,165,39,121,277,23,Lost Second Round
Wofford,2013-14,20,13,-5.95,66.8,62.2,None,328,300,69,161,44,231,291,241,8,253,123,116,336,23,Lost Second Round
Wofford,2010-11,21,13,-1.21,73.6,68.0,None,145,136,241,94,32,103,96,69,121,263,101,84,176,27,Lost Second Round
Wyoming,2014-15,25,10,-0.04,61.5,56.4,None,36,140,121,43,48,257,351,164,170,122,34,302,311,17,Lost Second Round
Xavier,2015-16,28,6,8.43,80.5,70.4,None,26,136,50,202,198,85,139,23,184,276,285,52,44,196,Lost Second Round
Xavier,2014-15,23,14,9.48,73.3,67.4,None,44,160,207,146,240,36,122,81,127,109,239,227,143,119,Lost Regional Semifinal
Xavier,2013-14,21,13,8.14,71.8,68.1,None,59,116,260,67,86,122,233,163,60,14,99,298,229,66,Lost First Round
Xavier,2011-12,23,13,6.22,70.6,67.3,14,48,241,30,44,162,330,246,104,48,44,55,250,80,76,Lost Regional Semifinal
Xavier,2010-11,24,8,4.41,72.1,64.6,None,48,40,104,65,15,33,41,8,283,299,209,158,11,203,Lost Second Round
Yale,2015-16,23,7,-1.03,74.9,63.8,None,115,70,104,102,33,83,144,147,70,16,172,230,219,13,Lost Second Round
