Alabama Birmingham,14
Albany Ny,14
Arizona,2
Arkansas,5
Baylor,3
Belmont,15
Buffalo,12
Butler,6
California Irvine,13
Cincinnati,8
Coastal Carolina,16
Davidson,10
Dayton,11
Duke,1
Eastern Washington,13
Georgetown,4
Georgia,10
Georgia State,14
Gonzaga,2
Hampton,16
Harvard,13
Indiana,10
Iowa,7
Iowa State,3
Kansas,2
Kentucky,1
Lafayette,16
Louisiana State,9
Louisville,4
Maryland,4
Michigan State,7
Mississippi,11
New Mexico State,15
North Carolina,4
North Carolina State,8
North Dakota State,15
Northeastern,14
Northern Iowa,5
Notre Dame,3
Ohio State,10
Oklahoma,3
Oklahoma State,9
Oregon,8
Providence,6
Purdue,9
Robert Morris,16
San Diego State,8
Southern Methodist,6
St Johns Ny,9
Stephen F Austin,12
Texas,11
Texas Southern,15
Ucla,11
Utah,5
Valparaiso,13
Villanova,1
Virginia,2
Virginia Commonwealth,7
West Virginia,5
Wichita State,7
Wisconsin,1
Wofford,12
Wyoming,12
Xavier,6
